1,0-10,47.43,43.28,26.69
2,0-10,45.31,40.51,25.33
3,0-10,46.38,42.67,26.02
4,10-20,44.56,40.33,25.99
5,10-20,46.52,41.28,24.67
6,10-20,46.13,40.69,25.75
7,0-10,42.19,38.67,22.16
8,0-10,43.41,38.63,23.15
9,0-10,42.44,39.55,22.19
10,10-20,41.29,37.34,21.87
11,10-20,43.51,38.23,23.35
12,10-20,42.38,38.61,24.11
